"RelativePath","FileName","Length","SHA256","Hash8","Managed","AssemblyName","Version","Error"
"DLLs\NEW\Sander\obj\Release\net9.0\linux-x64\ref\Sander.dll","Sander.dll","11264","0AE8E3656D2AEEC03FE29F06D99461D194CFFC8586B290B138CF6F1FC595D08F","0AE8E365","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Release\net9.0\linux-x64\refint\Sander.dll","Sander.dll","11264","0AE8E3656D2AEEC03FE29F06D99461D194CFFC8586B290B138CF6F1FC595D08F","0AE8E365","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Release\net9.0\linux-x64\Sander.dll","Sander.dll","47616","C3D5B35C6C4E3816A940F6CB6A9D8E62147486CB898C95AE0D04B047CF7AFA98","C3D5B35C","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Release\net9.0\ref\Sander.dll","Sander.dll","12288","40254E03FF0AC474DC16F398F9DC30AA017A786B6ED04532984C207D28FC847D","40254E03","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Release\net9.0\refint\Sander.dll","Sander.dll","12288","40254E03FF0AC474DC16F398F9DC30AA017A786B6ED04532984C207D28FC847D","40254E03","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Release\net9.0\Sander.dll","Sander.dll","48128","C0ADD98089D7E2EF3327E14E59DB5D504AE621ED14C9395E6854F30605B69B4B","C0ADD980","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Release\net9.0\win-x64\ref\Sander.dll","Sander.dll","11264","0AE8E3656D2AEEC03FE29F06D99461D194CFFC8586B290B138CF6F1FC595D08F","0AE8E365","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Release\net9.0\win-x64\refint\Sander.dll","Sander.dll","11264","0AE8E3656D2AEEC03FE29F06D99461D194CFFC8586B290B138CF6F1FC595D08F","0AE8E365","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\obj\Release\net9.0\win-x64\Sander.dll","Sander.dll","47616","B6D170E60F78034AD31FCE1D2D1CE7F35B2F24CD661DFEAF2F15F566E4B9B59F","B6D170E6","True","Sander","1.0.0.0",""
"DLLs\NEW\Sander\Resources\0Harmony.dll","0Harmony.dll","2082816","6F1CD7A96E6EA884384D49E626BC4C364E7AB138B9FBF010A5380BBFFB31C74D","6F1CD7A9","True","0Harmony","2.3.5.0",""
"DLLs\NEW\Sander\Resources\Content.Client.dll","Content.Client.dll","4028928","A47D54EF3343343803325376E709C06CC14B3139BEEDA094A3EC9E2789EC1912","A47D54EF","True","Content.Client","1.0.0.0",""
"DLLs\NEW\Sander\Resources\Content.Shared.dll","Content.Shared.dll","6173184","C6376D41B5CD023BD358307A4231E3CDE70E0D67316313AE41A6B26B9000FD5D","C6376D41","True","Content.Shared","1.0.0.0",""
"DLLs\NEW\Sander\Resources\Robust.Client.dll","Robust.Client.dll","1751040","48BAD9D8F1E8C1BDC4A0D4C10FE6CC851910416C47055BBF76730DD1C3D026B1","48BAD9D8","True","Robust.Client","268.0.0.0",""
"DLLs\NEW\Sander\Resources\Robust.Shared.dll","Robust.Shared.dll","2821632","CC13C87208811E89E43DFE63F9EB9AC1BAE82CBF120C0042EAFE2C0411D6202A","CC13C872","True","Robust.Shared","268.0.0.0",""
"DLLs\NEW\Sander\Resources\Robust.Shared.Maths.dll","Robust.Shared.Maths.dll","93696","F146DE4FFB34C171824D5DCAD55B61EC43CD0EBB1E5AD77B7DC3DD91E742BEB1","F146DE4F","True","Robust.Shared.Maths","268.0.0.0",""
"DLLs\NEW\Smart_Spam_Patch.dll","Smart_Spam_Patch.dll","7680","61EAC9C14DE7EBBA5DB2562E7EEC4D77E49AE35A93827A3819658F3C4203DAAA","61EAC9C1","True","SimpleCommand","1.0.0.0",""
"DLLs\NEW\SunriseObhod14.dll","SunriseObhod14.dll","280576","1299BDD42970469D13BF44DB603388214F60C4B374E440F90B2105FEF35AB7A4","1299BDD4","True","SunriseObhod14","1.0.0.0",""
